,latitude,longitude,city_label
0,40.8644125,-73.8932922,2
1,38.8847136,-76.9274311,4
2,42.3670252,-83.1159606,1
3,37.798462,-122.4235261,0
4,41.6995415,-87.6908064,3
5,41.7365804,-87.5724233,3
6,40.7288668,-73.8065349,2
7,37.7811883,-122.4952588,0
8,38.9214372,-77.0743365,4
9,38.8707859,-76.9505337,4
10,38.9231175,-76.9684488,4
11,37.7810709,-122.4090515,0
12,40.7386784,-73.9311121,2
13,37.8294768,-122.3752129,0
14,40.696834,-73.7425247,2
15,40.7072354,-73.8318532,2
16,37.7962436,-122.4087288,0
17,38.861907,-76.9906828,4
18,42.4186492,-83.0508186,1
19,41.9966299,-87.7280554,3
20,40.621551,-73.9149942,2
21,40.7448955,-73.9169334,2
22,41.8723405,-87.7264867,3
23,41.8437024,-87.6571607,3
24,40.729141,-73.9003947,2
25,38.8810257,-76.990608,4
26,41.7890256,-87.7886588,3
27,37.7708508,-122.4366263,0
28,40.6480151,-74.011269,2
29,40.6544093,-73.7286249,2
30,38.922938,-77.0283102,4
31,37.737469,-122.4782605,0
32,38.9469048,-77.0719392,4
33,38.8606904,-76.9899215,4
34,41.9503045,-87.7573587,3
35,41.7859109,-87.6701037,3
36,42.376161,-83.0814022,1
37,37.7975907,-122.4134231,0
38,37.7657,-122.4655328,0
39,38.8880141,-76.9939445,4
40,38.8442553,-76.9740809,4
41,37.731591,-122.4110434,0
42,38.9226579,-77.0449125,4
43,37.7650124,-122.4436998,0
44,41.9944146,-87.7174177,3
45,38.8874223,-76.9780678,4
46,38.8962977,-76.9862507,4
47,40.762846,-73.8864941,2
48,42.3368028,-83.1073295,1
49,38.9472812,-76.9826953,4
50,38.9155862,-77.0754267,4
51,40.8489949,-73.9337369,2
52,41.9441256,-87.833558,3
53,42.3567978,-83.244094,1
54,41.7976871,-87.632718,3
55,40.5962171,-73.9311189,2
56,38.8965851,-76.9471435,4
57,42.3533737,-83.1549121,1
58,40.747509,-73.8734548,2
59,38.9194334,-77.0003178,4
60,42.4258634,-83.2729551,1
61,40.7025748,-73.9166656,2
62,37.7636103,-122.4817052,0
63,37.7545615,-122.4103902,0
64,37.790238,-122.4422786,0
65,42.3401389,-83.0147801,1
66,37.7872568,-122.4413691,0
67,38.9260074,-77.0255453,4
68,42.3821468,-83.1571337,1
69,38.9574981,-76.9966803,4
70,41.9396848,-87.8211318,3
71,42.3832459,-83.1407706,1
72,41.6986628,-87.6144138,3
73,42.4065151,-83.016323,1
74,41.7804631,-87.6651198,3
75,40.7659832,-73.9710294,2
76,37.7233343,-122.4391389,0
77,40.8277374,-73.8900719,2
78,37.728885,-122.3880562,0
79,42.3695172,-83.2249003,1
80,37.7616924,-122.4452263,0
81,40.6204627,-74.1340379,2
82,37.7298251,-122.3863808,0
83,41.8446132,-87.716892,3
84,37.8005733,-122.4248488,0
85,40.5401214,-74.1476199,2
86,42.3139981,-83.1302938,1
87,41.7836574,-87.7726002,3
88,42.417542,-83.0199262,1
89,38.8953033,-76.9890905,4
90,37.7985789,-122.4333568,0
91,40.758292,-73.9610537,2
92,40.7284941,-73.9858403,2
93,37.785781,-122.4751342,0
94,41.8263648,-87.6123181,3
95,41.6864666,-87.6465906,3
96,37.7565925,-122.4230015,0
97,41.9025539,-87.7523277,3
98,38.9026326,-76.9430957,4
99,41.7696411,-87.593272,3
100,37.7786083,-122.4221936,0
101,37.7414581,-122.4849246,0
102,38.9495342,-77.0252012,4
103,42.3769335,-82.9612272,1
104,42.0118274,-87.6708692,3
105,41.9842961,-87.6986079,3
106,40.7477713,-73.9010526,2
107,42.3635786,-82.9359037,1
108,38.8858991,-76.9435841,4
109,41.8935715,-87.7640464,3
110,42.3690596,-82.9558519,1
111,40.6883011,-73.8146702,2
112,40.8188482,-73.9458108,2
